export_date,id,risky_from,risky_until,message_type
1600948800,5W8X6YXR,1600858800,1600884000,M1
1600948800,P52VW2K5,1600743600,1600774200,M1
1600948800,J5WM23P5,1600648200,1600671600,M1
1601253323,RJ6X9M9R,1600761600,1601139600,M1
1603235607,5XK3838R,1602345600,1602363600,M1
1603235607,5YYY3JY5,1601852460,1602889140,M1
1603327276,5XK3838R,1602259200,1602277200,M1
1605054152,R9YY2PYR,1604131200,1604185200,M1
1605054152,5M9XM3Y5,1603443600,1604527200,M1
1605140773,P56K8MYR,1604394000,1604444400,M1
1605313597,5334YKV5,1604995200,1605031200,M1
1605313597,5M4KVYKR,1604995200,1605031200,M1
1606437104,544YVY45,1605423600,1605484740,M1
1607301808,544YVY45,1605596400,1605657540,M1
1607647259,5M9KX3V5,1607212800,1607299140,M1
1607647259,R8VPKY6R,1607212800,1607299140,M1
1607647259,52KW929R,1607126400,1607212740,M1
1607647259,52WK224R,1607126400,1607212740,M1
1607647259,5M6MP4KR,1607126400,1607212740,M1
1607647259,5WP4P3MR,1607126400,1607212740,M1
1607647259,V5MX82YR,1607040000,1607126340,M1
1607733854,56WW9XXR,1607414400,1607536800,M1
1607733854,RJKVKM65,1607385600,1607471940,M1
1607733854,V543JVMR,1607331600,1607362200,M1
1607733854,P56YVP3R,1607299200,1607385540,M1
1607733854,5MKY3MY5,1607126400,1607299140,M1
1607733854,52K2M3YR,1607126400,1607212740,M1
1607733854,5WM3M285,1607126400,1607212740,M1
1607819864,56WW9XXR,1607328000,1607364000,M1
1607992867,R9JVP865,1607644800,1607731140,M1
1607992867,5WX6P3VR,1607558400,1607644740,M1
1607992867,RP964W25,1607472000,1607558340,M1
1607992867,5699VY4R,1607385600,1607471940,M1
1607992867,5WVM8YMR,1607385600,1607471940,M1
1608079048,RJ2PM9WR,1607644800,1607731140,M1
1608079048,5XXW4YW5,1607558400,1607644740,M1
1608079048,RP9223WV,1607558400,1607644740,M1
1608079048,MR8X82RJ,1607472000,1607558340,M1
1608079048,RP2X2WJR,1607472000,1607558340,M1
1608079048,56882XYY,1607385600,1607471940,M1
1608079048,5Y868YYR,1607385600,1607471940,M1
1608079048,R8JMPY9R,1607385600,1607471940,M1
1608165498,5WYK32X5,1607817600,1607903999,M1
1608165498,546392Y5,1607817600,1607903940,M1
1608165498,5MWVK3WY,1607817600,1607903940,M1
1608165498,5W33Y3V5,1607731200,1607817599,M1
1608165498,5XXW6VJ5,1607731200,1607817599,M1
1608165498,RP68V99R,1607731200,1607817599,M1
1608165498,4RK3YMRY,1607644800,1607731199,M1
